"Child","Parent"
"S5","S4"
"S4","S3"
"S8","S7"
"S7","S6"
"S9","S6"
"S10","S6"
"S11","S6"
"S12","S6"
"S6","S3"
"S14","S13"
"S15","S13"
"S13","S3"
"S16","S3"
"S3","S2"
"S17","S2"
"S18","S2"
"S20","S19"
"S23","S22"
"S24","S22"
"S25","S22"
"S22","S21"
"S26","S21"
"S27","S21"
"S28","S21"
"S21","S19"
"S31","S30"
"S30","S29"
"S29","S19"
"S32","S19"
"S33","S19"
"S35","S34"
"S36","S34"
"S37","S34"
"S38","S34"
"S34","S19"
"S39","S19"
"S40","S19"
"S19","S2"
"S42","S41"
"S43","S41"
"S44","S41"
"S45","S41"
"S41","S2"
"S2","S1"
"S1",
