"Host","Time of examination","Time of cull","Estimated oldest lesion age"
"S6","32.76383921108938","34.76383921108938","1.4220364057862243"
"S8","47.41106862824785","49.41106862824785","2.62483307489033"
"S9","60.12042940861086","62.12042940861086","3.475960916661265"
"S7","48.551835489847775","50.551835489847775","9.171089521714414"
"S10","42.16345748138201","44.16345748138201","5.071680336109358"
"S5","35.03323591976331","37.03323591976331","11.728460164711185"
"S4","14.52738873457497","16.52738873457497","3.6972163219615393"
"S15","37.424120458577114","39.424120458577114","4.004924507002255"
"S14","31.163071119345332","33.16307111934533","2.5837165264065036"
"S13","32.74885642518731","34.74885642518731","7.631871078318795"
"S17","37.97990341182432","39.97990341182432","2.658759904286698"
"S18","36.60300055680458","38.60300055680458","1.7339454932835054"
"S19","42.98314275079291","44.98314275079291","4.697385411473887"
"S16","37.81221591386107","39.81221591386107","4.270326536409012"
"S20","29.773267765818275","31.773267765818275","3.4775913191018324"
"S12","27.81908124623183","29.81908124623183","8.126710228175076"
"S22","37.438063386733724","39.438063386733724","2.1281397898115255"
"S21","27.141449506065626","29.141449506065626","3.9411430344473874"
"S11","23.322107262436823","25.322107262436823","5.883233675049587"
"S24","35.64971815042053","37.64971815042053","5.5732841431200075"
"S23","28.343762414478082","30.343762414478082","2.3661086283551587"
"S3","11.888183372639318","13.888183372639318","4.537114830119406"
"S2","5.51781791701363","7.51781791701363","1.986552062791345"
"S27","20.617823940010386","22.617823940010386","0.9390768109384685"
"S26","19.867029367231744","21.867029367231744","2.6608007761271915"
"S32","37.895780945918744","39.895780945918744","2.3629554888549817"
"S31","31.55144939166578","33.551449391665784","3.7338883256169297"
"S33","32.97976935401775","34.97976935401775","1.9791331247871995"
"S34","36.526782399860075","38.526782399860075","1.8683683138701908"
"S36","33.2535275659753","35.2535275659753","0.9529528896342335"
"S35","26.832049366256435","28.832049366256435","3.660089551008384"
"S38","30.926323937102378","32.92632393710238","1.811826475221536"
"S40","38.73704185282153","40.73704185282153","2.9980683868773395"
"S39","36.855559779115865","38.855559779115865","2.893490150682995"
"S37","30.223465012844613","32.22346501284461","5.301597524314966"
"S30","22.60012152453078","24.60012152453078","4.842414606589918"
"S29","16.980775085858234","18.980775085858234","4.473391838497617"
"S28","14.207280562182113","16.207280562182113","6.283425278357947"
"S46","40.737432885161624","42.737432885161624","0.7982418084712312"
"S47","48.65439220208945","50.65439220208945","10.307756464885"
"S48","49.2041447267968","51.2041447267968","9.95616618270589"
"S45","38.55604212701618","40.55604212701618","6.507189394076939"
"S49","34.81917470383191","36.81917470383191","2.9564391207959235"
"S44","33.20027893343938","35.20027893343938","4.509996524727911"
"S50","39.811218725762664","41.811218725762664","1.588910439927128"
"S43","31.99288507490198","33.99288507490198","7.818555718658902"
"S52","26.344290455345813","28.344290455345813","4.769089065616042"
"S54","32.729991145640035","34.729991145640035","2.530974213545369"
"S55","37.77129247802385","39.77129247802385","2.8867180931855763"
"S53","30.77247445437763","32.77247445437763","2.267594627097038"
"S51","26.133090751957237","28.133090751957237","6.071722184727981"
"S56","33.333618651821375","35.333618651821375","2.871350934918699"
"S42","21.696173759267758","23.696173759267758","3.896048042478561"
"S41","19.81441210709677","21.81441210709677","4.465585321374055"
"S58","17.07558843138444","19.07558843138444","2.5873716260705617"
"S57","14.322981274777668","16.322981274777668","4.704313216108814"
"S25","13.020911429197195","15.020911429197195","7.98816064633883"
"S1","4.515960469180458","6.515960469180458","3.231671822541814"
