"Host","Time of examination","Time of cull","Estimated oldest lesion age"
"S2","14.575217289658628","16.575217289658628","3.7443640744494746"
"S7","34.366676151646196","36.366676151646196","0.9471501411499399"
"S6","30.877874342121853","32.877874342121856","3.353463671766485"
"S5","28.209303300551042","30.209303300551042","3.92890365332176"
"S9","42.58916440910718","44.58916440910718","4.995048373798123"
"S10","42.43579903855517","44.43579903855517","5.009274672182184"
"S11","42.689826329120024","44.689826329120024","4.175636268028791"
"S12","52.60220503526564","54.60220503526564","15.185060357942898"
"S13","42.9410831355224","44.9410831355224","5.311256255081823"
"S14","52.38781041440696","54.38781041440696","9.624531127941161"
"S8","37.62994774141402","39.62994774141402","4.192445846151359"
"S4","24.218209729630154","26.218209729630154","6.362020782361101"
"S16","25.48166065206119","27.48166065206119","0.8346010306081303"
"S19","41.75359382195352","43.75359382195352","5.756543650020915"
"S20","40.57408752361019","42.57408752361019","4.413371646636207"
"S21","45.34651308441545","47.34651308441545","0.8328644102647628"
"S22","49.33296355480521","51.33296355480521","7.331184276642569"
"S18","42.81090573435332","44.81090573435332","10.528608165045917"
"S24","36.04723301356437","38.04723301356437","1.682197460302615"
"S23","33.40105651586195","35.40105651586195","1.0743501738196501"
"S17","26.139133073307494","28.139133073307494","4.971655585534411"
"S26","28.009252598655344","30.009252598655344","1.4038929906097983"
"S28","52.09765808720054","54.09765808720054","4.615951533129021"
"S27","45.500387255211784","47.500387255211784","2.1375275836748604"
"S29","38.65787445167934","40.65787445167934","3.346782812087671"
"S30","45.571356950681235","47.571356950681235","5.952307212224242"
"S25","35.192052984720085","37.192052984720085","11.73205049372779"
"S31","39.17055967600305","41.17055967600305","1.1039249068691712"
"S15","20.94841987536221","22.94841987536221","4.977599390698351"
"S36","38.932138658319396","40.932138658319396","2.6191489070853406"
"S37","41.106044130294904","43.106044130294904","2.505201037111412"
"S38","43.61101734205423","45.61101734205423","3.2566582778197604"
"S39","47.63819892841529","49.63819892841529","3.4791261135358824"
"S40","47.26988913482731","49.26988913482731","2.5682436508021977"
"S35","41.07563993903587","43.07563993903587","10.31406082060389"
"S42","44.23241915632742","46.23241915632742","7.537508757774622"
"S41","33.34159473748082","35.34159473748082","3.4668804559892408"
"S44","41.47248774200072","43.47248774200072","2.6131821715568404"
"S45","40.93081443914069","42.93081443914069","0.3255150716709899"
"S43","36.43176428917229","38.43176428917229","2.16978357998548"
"S34","30.82267933768053","32.822679337680526","2.9171087291668134"
"S33","22.910060262711784","24.910060262711784","1.9523329351805383"
"S47","29.675666592444422","31.675666592444422","3.485966607166751"
"S46","21.80904214141844","23.80904214141844","4.812672782305587"
"S32","17.08423025098729","19.08423025098729","1.663001758716216"
"S3","13.031284740199428","15.031284740199428","3.2731457863112743"
"S1","9.25279760905631","11.25279760905631","3.938471718586309"
