"Child","Parent"
"S3","S2"
"S4","S2"
"S8","S7"
"S7","S6"
"S9","S6"
"S6","S5"
"S11","S10"
"S10","S5"
"S5","S2"
"S13","S12"
"S12","S2"
"S15","S14"
"S16","S14"
"S14","S2"
"S17","S2"
"S18","S2"
"S2","S1"
"S19","S1"
"S22","S21"
"S26","S25"
"S27","S25"
"S28","S25"
"S29","S25"
"S25","S24"
"S31","S30"
"S32","S30"
"S30","S24"
"S24","S23"
"S35","S34"
"S36","S34"
"S34","S33"
"S39","S38"
"S40","S38"
"S41","S38"
"S42","S38"
"S38","S37"
"S44","S43"
"S43","S37"
"S45","S37"
"S37","S33"
"S33","S23"
"S47","S46"
"S48","S46"
"S46","S23"
"S49","S23"
"S23","S21"
"S21","S20"
"S50","S20"
"S51","S20"
"S52","S20"
"S20","S1"
"S1",
