"Child","Parent"
"S5","S4"
"S4","S3"
"S8","S7"
"S9","S7"
"S7","S6"
"S10","S6"
"S11","S6"
"S12","S6"
"S13","S6"
"S14","S6"
"S15","S6"
"S6","S3"
"S16","S3"
"S3","S2"
"S17","S2"
"S19","S18"
"S18","S2"
"S2","S1"
"S22","S21"
"S24","S23"
"S23","S21"
"S21","S20"
"S20","S1"
"S25","S1"
"S26","S1"
"S28","S27"
"S31","S30"
"S30","S29"
"S34","S33"
"S35","S33"
"S36","S33"
"S37","S33"
"S33","S32"
"S38","S32"
"S32","S29"
"S29","S27"
"S27","S1"
"S42","S41"
"S43","S41"
"S41","S40"
"S45","S44"
"S46","S44"
"S47","S44"
"S44","S40"
"S49","S48"
"S50","S48"
"S51","S48"
"S48","S40"
"S40","S39"
"S52","S39"
"S39","S1"
"S1",
