"Host","Time of examination","Time of cull","Estimated oldest lesion age"
"S3","15.244797510413738","17.24479751041374","1.7958836785322838"
"S5","36.38567656243015","38.38567656243015","0.7097224529645675"
"S4","27.025957188287947","29.025957188287947","2.9197624221319463"
"S2","14.164416581940833","16.164416581940834","2.8530657462708615"
"S11","39.56878169639236","41.56878169639236","2.8223250602531516"
"S10","31.06743786680712","33.06743786680712","1.4467947344597776"
"S12","36.190834116678495","38.190834116678495","7.859730972900235"
"S13","40.52181900207286","42.52181900207286","6.692924993810513"
"S9","32.37883550577589","34.37883550577589","6.74890035359586"
"S15","39.77706530669597","41.77706530669597","1.7807808907139866"
"S16","52.05788203919845","54.05788203919845","4.632207225863597"
"S17","44.00499407884572","46.00499407884572","1.8984664636309196"
"S18","45.58658781879396","47.58658781879396","0.6593696042259881"
"S19","48.19285720199431","50.19285720199431","1.566446167678353"
"S14","40.97410805700703","42.97410805700703","10.015367831250058"
"S21","36.708415607716354","38.708415607716354","1.2439086228292249"
"S22","47.6294107757832","49.6294107757832","4.376275666187486"
"S23","39.436460764184254","41.436460764184254","2.653473362083221"
"S20","36.47049271428765","38.47049271428765","5.869665266335211"
"S24","37.09284322968714","39.09284322968714","6.289151260065979"
"S25","39.506739970669614","41.506739970669614","4.6088659077698715"
"S26","47.25049260427716","49.25049260427716","12.757071627052467"
"S27","39.74497523198033","41.74497523198033","5.226778083928722"
"S28","48.6400578122996","50.6400578122996","5.895412480141831"
"S29","48.910155452190715","50.910155452190715","4.281045568745594"
"S8","41.77058601123008","43.77058601123008","17.031007494732716"
"S33","38.691511445525975","40.691511445525975","1.572851961698348"
"S34","45.72232068403714","47.72232068403714","5.011300937842099"
"S32","30.576401201939902","32.5764012019399","1.5144567070685715"
"S36","34.702992788063284","36.702992788063284","4.494388284637975"
"S35","30.298110681937782","32.298110681937786","2.742686739642907"
"S31","27.27911957748433","29.27911957748433","1.5299689758676616"
"S38","47.22264292018257","49.22264292018257","1.3905075959475939"
"S39","46.724715554049766","48.724715554049766","2.6599096467667165"
"S37","41.215898884989926","43.215898884989926","3.766942234478889"
"S41","39.41519371091402","41.41519371091402","3.8519553126412585"
"S42","42.59546192080589","44.59546192080589","2.2712104208733277"
"S40","33.10581685529932","35.10581685529932","2.576259239066619"
"S43","41.13896012699735","43.13896012699735","1.169742688807845"
"S30","31.706696278290273","33.70669627829027","8.25143170360228"
"S45","36.221948116632646","38.221948116632646","1.1210468520439447"
"S44","28.908897947523286","30.908897947523286","4.663148112913835"
"S46","32.4315724339106","34.4315724339106","0.995912295187864"
"S47","31.287390137226623","33.28739013722662","3.6298816604884383"
"S50","36.833900661973416","38.833900661973416","3.6396134066233694"
"S49","34.84185188793589","36.84185188793589","3.984528472660008"
"S48","29.000555703226294","31.000555703226294","3.7457414885494913"
"S51","30.774609766187645","32.774609766187645","1.8645877061921232"
"S52","29.44392098093243","31.44392098093243","4.545216079012168"
"S7","25.707113806417777","27.707113806417777","7.697032667861966"
"S6","11.030671179524777","13.030671179524777","4.770744027583695"
"S1","7.512018234275208","9.512018234275208","4.379311564470481"
