"Child","Parent"
"S2","S1"
"S7","S6"
"S6","S5"
"S5","S4"
"S9","S8"
"S10","S8"
"S11","S8"
"S12","S8"
"S13","S8"
"S14","S8"
"S8","S4"
"S4","S3"
"S16","S15"
"S19","S18"
"S20","S18"
"S21","S18"
"S22","S18"
"S18","S17"
"S24","S23"
"S23","S17"
"S17","S15"
"S26","S25"
"S28","S27"
"S27","S25"
"S29","S25"
"S30","S25"
"S25","S15"
"S31","S15"
"S15","S3"
"S36","S35"
"S37","S35"
"S38","S35"
"S39","S35"
"S40","S35"
"S35","S34"
"S42","S41"
"S41","S34"
"S44","S43"
"S45","S43"
"S43","S34"
"S34","S33"
"S33","S32"
"S47","S46"
"S46","S32"
"S32","S3"
"S3","S1"
"S1",
