"Child","Parent"
"S5","S4"
"S4","S3"
"S6","S3"
"S10","S9"
"S11","S9"
"S12","S9"
"S9","S8"
"S13","S8"
"S14","S8"
"S15","S8"
"S16","S8"
"S17","S8"
"S18","S8"
"S19","S8"
"S8","S7"
"S7","S3"
"S22","S21"
"S21","S20"
"S23","S20"
"S25","S24"
"S26","S24"
"S27","S24"
"S28","S24"
"S24","S20"
"S31","S30"
"S32","S30"
"S33","S30"
"S34","S30"
"S30","S29"
"S35","S29"
"S36","S29"
"S29","S20"
"S38","S37"
"S39","S37"
"S40","S37"
"S37","S20"
"S41","S20"
"S42","S20"
"S43","S20"
"S20","S3"
"S44","S3"
"S45","S3"
"S3","S2"
"S46","S2"
"S47","S2"
"S2","S1"
"S48","S1"
"S53","S52"
"S54","S52"
"S52","S51"
"S51","S50"
"S50","S49"
"S58","S57"
"S57","S56"
"S56","S55"
"S55","S49"
"S49","S1"
"S60","S59"
"S59","S1"
"S1",
