"Child","Parent"
"S6","S5"
"S8","S7"
"S9","S7"
"S7","S5"
"S10","S5"
"S5","S4"
"S4","S3"
"S15","S14"
"S14","S13"
"S13","S12"
"S17","S16"
"S18","S16"
"S19","S16"
"S16","S12"
"S20","S12"
"S12","S11"
"S22","S21"
"S21","S11"
"S11","S3"
"S24","S23"
"S23","S3"
"S3","S2"
"S2","S1"
"S27","S26"
"S26","S25"
"S32","S31"
"S31","S30"
"S33","S30"
"S34","S30"
"S36","S35"
"S35","S30"
"S38","S37"
"S40","S39"
"S39","S37"
"S37","S30"
"S30","S29"
"S29","S28"
"S28","S25"
"S46","S45"
"S47","S45"
"S48","S45"
"S45","S44"
"S49","S44"
"S44","S43"
"S50","S43"
"S43","S42"
"S52","S51"
"S54","S53"
"S55","S53"
"S53","S51"
"S51","S42"
"S56","S42"
"S42","S41"
"S41","S25"
"S58","S57"
"S57","S25"
"S25","S1"
"S1",
