"Host","Time of examination","Time of cull","Estimated oldest lesion age"
"S5","38.40961954666171","40.40961954666171","5.737388914454856"
"S4","35.13930244117606","37.13930244117606","6.3677122714308085"
"S7","40.39346094616481","42.39346094616481","1.4867473890984537"
"S6","38.75462495361625","40.75462495361625","4.944047028535916"
"S9","54.002675328828104","56.002675328828104","1.8596080389752"
"S10","45.852868564783144","47.852868564783144","5.856243588175573"
"S8","38.49798247572772","40.49798247572772","6.96381275860139"
"S3","31.661575464399604","33.661575464399604","11.192048648880409"
"S13","41.40701411457245","43.40701411457245","5.178884295668782"
"S12","36.29541743548464","38.29541743548464","6.434703220679549"
"S11","29.14817171690314","31.14817171690314","3.1371038497690513"
"S2","20.403607255739118","22.403607255739118","3.452071796189582"
"S16","37.127432032730425","39.127432032730425","12.340393328034963"
"S17","26.796392355453047","28.796392355453047","0.18754105813419217"
"S18","37.84019237265117","39.84019237265117","5.103785331304359"
"S20","38.36546344008809","40.36546344008809","2.466740326304757"
"S21","46.46084943627517","48.46084943627517","2.1597303659373317"
"S19","35.34386566305898","37.34386566305898","1.8667073964060483"
"S24","37.96623714167575","39.96623714167575","0.9854112310431618"
"S23","36.15931120232946","38.15931120232946","6.691641218639189"
"S25","38.94948947318161","40.94948947318161","0.6420268191885394"
"S26","35.75323833220154","37.75323833220154","1.4272966970741012"
"S22","34.67421098243915","36.67421098243915","5.905586288417084"
"S28","41.40352771414594","43.40352771414594","4.41034165560651"
"S29","39.97034708400798","41.97034708400798","3.073560187509968"
"S30","41.87976691343539","43.87976691343539","4.57115155546902"
"S31","40.85280011246028","42.85280011246028","5.564160489269562"
"S27","35.68792798044267","37.68792798044267","6.3673343917772165"
"S15","28.08445001674504","30.08445001674504","8.435830843639813"
"S32","28.97371360517645","30.97371360517645","1.680314829018775"
"S33","30.07426905791146","32.074269057911465","7.915896993731634"
"S14","20.36676464377395","22.36676464377395","4.845707862809604"
"S37","39.44442600110197","41.44442600110197","2.6113195565961482"
"S38","48.14615873539032","50.14615873539032","1.6161410114005754"
"S39","49.54503616794383","51.54503616794383","6.129135141382333"
"S40","49.46196376750043","51.46196376750043","1.1795222825278113"
"S36","44.41051683151322","46.41051683151322","8.768455096908692"
"S42","55.98206217512023","57.98206217512023","10.005564832002229"
"S41","45.73183332759911","47.73183332759911","5.435089900425094"
"S44","48.38600389475013","50.38600389475013","2.2990735069482873"
"S45","56.09808573688995","58.09808573688995","8.634535475155547"
"S46","51.742185270572115","53.742185270572115","2.902692890331284"
"S43","46.46005421065307","48.46005421065307","8.708875553170362"
"S35","31.42492452576147","33.42492452576147","4.639054067259033"
"S47","28.425256859349595","30.425256859349595","5.190009214060304"
"S48","30.108576081935073","32.10857608193507","0.4629800014870674"
"S49","43.874052962597574","45.874052962597574","1.7920066205547271"
"S34","32.24388295417259","34.24388295417259","13.35664990345693"
"S50","23.68896903337925","25.68896903337925","3.8924278454512957"
"S1","18.113417618105835","20.113417618105835","6.986147941373858"
