"Child","Parent"
"S3","S2"
"S5","S4"
"S4","S2"
"S2","S1"
"S11","S10"
"S10","S9"
"S12","S9"
"S13","S9"
"S9","S8"
"S15","S14"
"S16","S14"
"S17","S14"
"S18","S14"
"S19","S14"
"S14","S8"
"S21","S20"
"S22","S20"
"S23","S20"
"S20","S8"
"S24","S8"
"S25","S8"
"S26","S8"
"S27","S8"
"S28","S8"
"S29","S8"
"S8","S7"
"S33","S32"
"S34","S32"
"S32","S31"
"S36","S35"
"S35","S31"
"S31","S30"
"S38","S37"
"S39","S37"
"S37","S30"
"S41","S40"
"S42","S40"
"S40","S30"
"S43","S30"
"S30","S7"
"S45","S44"
"S44","S7"
"S46","S7"
"S47","S7"
"S50","S49"
"S49","S48"
"S48","S7"
"S51","S7"
"S52","S7"
"S7","S6"
"S6","S1"
"S1",
